chr	start	end	size	dataset
chr1	12836750	12878429	41679	Chaisson et al
chr1	13045881	13068467	22586	Chaisson et al
chr1	13104310	13122300	17990	Chaisson et al
chr1	16336670	16338771	2101	Chaisson et al
chr1	16549762	16948282	398520	Chaisson et al
chr1	26638141	26650177	12036	Chaisson et al
chr1	43592391	43595367	2976	Chaisson et al
chr1	80327754	80330649	2895	Chaisson et al
chr1	92795193	92798124	2931	Chaisson et al
chr1	103603323	103773686	170363	Chaisson et al
chr1	103643703	103741151	97448	Chaisson et al
chr1	108311832	108413037	101205	Chaisson et al
chr1	120223481	120684157	460676	Chaisson et al
chr1	143260028	143530288	270260	Chaisson et al
chr1	144077028	144882807	805779	Chaisson et al
chr1	148891846	149229929	338083	Chaisson et al
chr1	149820003	149876338	56335	Chaisson et al
chr1	157916148	157919336	3188	Chaisson et al
chr1	175231430	175232801	1371	Chaisson et al
chr1	181074767	181074952	185	Chaisson et al
chr1	187497343	187497605	262	Chaisson et al
chr1	197786515	197789904	3389	Chaisson et al
chr1	205209502	205209706	204	Chaisson et al
chr1	207117466	207121056	3590	Chaisson et al
chr1	227492259	227500523	8264	Chaisson et al
chr1	237402801	237402916	115	Chaisson et al
chr1	248519447	248530939	11492	Chaisson et al
chr10	4951216	5015194	63978	Chaisson et al
chr10	13062995	13063282	287	Chaisson et al
chr10	29132867	29132945	78	Chaisson et al
chr10	37103754	37113528	9774	Chaisson et al
chr10	38942612	38966688	24076	Chaisson et al
chr10	46372318	47419392	1047074	Chaisson et al
chr10	47467226	47780369	313143	Chaisson et al
chr10	50751431	50776265	24834	Chaisson et al
chr10	55004681	55014759	10078	Chaisson et al
chr10	57497898	57498223	325	Chaisson et al
chr10	65463858	65475868	12010	Chaisson et al
chr10	87238107	87298830	60723	Chaisson et al
chr10	91442190	91447412	5222	Chaisson et al
chr10	98733702	98735970	2268	Chaisson et al
chr10	103196947	103206143	9196	Chaisson et al
chr11	4224879	4242755	17876	Chaisson et al
chr11	4274130	4292550	18420	Chaisson et al
chr11	36309611	36309951	340	Chaisson et al
chr11	48880467	48899971	19504	Chaisson et al
chr11	50132556	50347138	214582	Chaisson et al
chr11	62094890	62101552	6662	Chaisson et al
chr11	66250101	66253619	3518	Chaisson et al
chr11	89744798	90095507	350709	Chaisson et al
chr12	12391025	12394627	3602	Chaisson et al
chr12	13389468	13398643	9175	Chaisson et al
chr12	39466254	39466531	277	Chaisson et al
chr12	46636683	46639526	2843	Chaisson et al
chr12	46896485	46916160	19675	Chaisson et al
chr12	49788783	49789348	565	Chaisson et al
chr12	65423608	65426407	2799	Chaisson et al
chr12	71139014	71139972	958	Chaisson et al
chr12	71314623	71317616	2993	Chaisson et al
chr12	71541193	71552738	11545	Chaisson et al
chr12	127905269	127908444	3175	Chaisson et al
chr12	131294575	131312923	18348	Chaisson et al
chr12	131652899	131663807	10908	Chaisson et al
chr13	18215202	18357590	142388	Chaisson et al
chr13	18408230	18565145	156915	Chaisson et al
chr13	37314464	37318514	4050	Chaisson et al
chr13	52215009	52595850	380841	Chaisson et al
chr13	63716793	63769525	52732	Chaisson et al
chr13	81782733	81782837	104	Chaisson et al
chr13	85728870	85731234	2364	Chaisson et al
chr14	18601518	18652308	50790	Chaisson et al
chr14	18652959	18712327	59368	Chaisson et al
chr14	19663449	19955079	291630	Chaisson et al
chr14	34545248	34562456	17208	Chaisson et al
chr14	40905661	40908696	3035	Chaisson et al
chr14	47853926	47856952	3026	Chaisson et al
chr14	65374516	65377987	3471	Chaisson et al
chr14	93459758	93460230	472	Chaisson et al
chr14	105772316	105774757	2441	Chaisson et al
chr15	20984202	21021610	37408	Chaisson et al
chr15	21032464	21073547	41083	Chaisson et al
chr15	21077238	21685069	607831	Chaisson et al
chr15	21836222	22618492	782270	Chaisson et al
chr15	23252404	23312907	60503	Chaisson et al
chr15	28429032	28481026	51994	Chaisson et al
chr15	28448816	28478774	29958	Chaisson et al
chr15	32153541	32314518	160977	Chaisson et al
chr15	75273163	75278891	5728	Chaisson et al
chr15	82337122	82527079	189957	Chaisson et al
chr15	84267648	84513678	246030	Chaisson et al
chr15	94938409	94938498	89	Chaisson et al
chr16	1228343	1258965	30622	Chaisson et al
chr16	14769189	15377775	608586	Chaisson et al
chr16	16210630	18436487	2225857	Chaisson et al
chr16	18486486	18557731	71245	Chaisson et al
chr16	18723622	18753202	29580	Chaisson et al
chr16	21567330	22701560	1134230	Chaisson et al
chr16	28457770	28740547	282777	Chaisson et al
chr16	32790679	33540870	750191	Chaisson et al
chr16	48616897	48617754	857	Chaisson et al
chr16	55766401	55837260	70859	Chaisson et al
chr16	69727516	69728993	1477	Chaisson et al
chr16	70121788	70166477	44689	Chaisson et al
chr16	74408184	74419503	11319	Chaisson et al
chr16	85154003	85157243	3240	Chaisson et al
chr17	5981170	5984654	3484	Chaisson et al
chr17	11124743	11128016	3273	Chaisson et al
chr17	14756063	14759055	2992	Chaisson et al
chr17	16754544	16845398	90854	Chaisson et al
chr17	18423506	18512829	89323	Chaisson et al
chr17	18607041	18827456	220415	Chaisson et al
chr17	21400640	21450526	49886	Chaisson et al
chr17	21649035	21678194	29159	Chaisson et al
chr17	21687297	21824188	136891	Chaisson et al
chr17	21824199	21884337	60138	Chaisson et al
chr17	22125930	22158426	32496	Chaisson et al
chr17	30616145	30631343	15198	Chaisson et al
chr17	33356931	33357111	180	Chaisson et al
chr17	34854675	34855873	1198	Chaisson et al
chr17	60024806	60126538	101732	Chaisson et al
chr18	12141461	12150226	8765	Chaisson et al
chr18	13918346	13919778	1432	Chaisson et al
chr19	7022269	7064756	42487	Chaisson et al
chr19	7322020	7322520	500	Chaisson et al
chr19	16056196	16058829	2633	Chaisson et al
chr19	24891502	24909637	18135	Chaisson et al
chr19	50604046	50609088	5042	Chaisson et al
chr2	16225238	16226719	1481	Chaisson et al
chr2	50587051	50589804	2753	Chaisson et al
chr2	88773367	88780091	6724	Chaisson et al
chr2	89032595	89061774	29179	Chaisson et al
chr2	90326160	91608532	1282372	Chaisson et al
chr2	91402511	91608532	206021	Chaisson et al
chr2	91820048	92039398	219350	Chaisson et al
chr2	94189553	94292414	102861	Chaisson et al
chr2	95481309	95598040	116731	Chaisson et al
chr2	95773379	96033749	260370	Chaisson et al
chr2	97214646	97497378	282732	Chaisson et al
chr2	109753975	110654845	900870	Chaisson et al
chr2	124293287	124296257	2970	Chaisson et al
chr2	128926439	128929348	2909	Chaisson et al
chr2	130533892	130650178	116286	Chaisson et al
chr2	143314030	143316861	2831	Chaisson et al
chr2	179551494	179557450	5956	Chaisson et al
chr2	183700313	183707387	7074	Chaisson et al
chr2	221701999	221705483	3484	Chaisson et al
chr2	224428235	224428368	133	Chaisson et al
chr2	240672311	240702025	29714	Chaisson et al
chr20	10806629	10809752	3123	Chaisson et al
chr20	26061210	26091730	30520	Chaisson et al
chr20	30381284	30425082	43798	Chaisson et al
chr21	6364078	6376932	12854	Chaisson et al
chr21	26000477	26003856	3379	Chaisson et al
chr21	26647154	26650648	3494	Chaisson et al
chr22	12029831	12047017	17186	Chaisson et al
chr22	12032161	12041308	9147	Chaisson et al
chr22	12156734	12175013	18279	Chaisson et al
chr22	12176622	12178933	2311	Chaisson et al
chr22	12364281	12371541	7260	Chaisson et al
chr22	15922753	15940421	17668	Chaisson et al
chr22	21442965	21496091	53126	Chaisson et al
chr22	23949470	23963321	13851	Chaisson et al
chr3	41319548	41322987	3439	Chaisson et al
chr3	43792730	43795576	2846	Chaisson et al
chr3	44698573	44701797	3224	Chaisson et al
chr3	75662604	75708229	45625	Chaisson et al
chr3	104587454	104589764	2310	Chaisson et al
chr3	131968697	131978538	9841	Chaisson et al
chr3	162807598	162829871	22273	Chaisson et al
chr3	191115781	191116229	448	Chaisson et al
chr3	195615104	195996875	381771	Chaisson et al
chr4	1000	68333	67333	Chaisson et al
chr4	9071649	9097101	25452	Chaisson et al
chr4	14835447	14837537	2090	Chaisson et al
chr4	40232818	40236154	3336	Chaisson et al
chr4	49199875	49273459	73584	Chaisson et al
chr4	87925967	87937206	11239	Chaisson et al
chr4	106396004	106399253	3249	Chaisson et al
chr4	133003137	133009292	6155	Chaisson et al
chr4	145693712	145694599	887	Chaisson et al
chr4	162656318	162659248	2930	Chaisson et al
chr4	167184943	167197126	12183	Chaisson et al
chr4	187948270	187956677	8407	Chaisson et al
chr5	46435513	46565431	129918	Chaisson et al
chr5	64465056	64482966	17910	Chaisson et al
chr5	116011018	116015368	4350	Chaisson et al
chr5	148174675	148175214	539	Chaisson et al
chr5	170170693	170171747	1054	Chaisson et al
chr5	181098356	181102201	3845	Chaisson et al
chr6	259723	386196	126473	Chaisson et al
chr6	12430507	12433398	2891	Chaisson et al
chr6	26722648	26781180	58532	Chaisson et al
chr6	76106270	76159073	52803	Chaisson et al
chr6	89212355	89215355	3000	Chaisson et al
chr6	94029849	94031734	1885	Chaisson et al
chr6	106720191	106723973	3782	Chaisson et al
chr6	128959877	128963502	3625	Chaisson et al
